all_kinds_steve	Sono tutti i tipi di Steve!
let_steve_help	Lascia che Steve ti aiuti!
this_is_steve	Ecco Steve
radius_gte	Il raggio dev'essere maggiore di o uguale a {0}m
radius_lte	Il raggio dev'essere minore di o uguale a {0}m
changed_radius	Raggio cambiato da {0}m a {1}m
invalid_radius	Raggio non valido
current_radius	Il raggio corrente é di {0}m
cant_find_place	Impossibile trovare un luogo
current_location	La tua posizione é segnata {0},{1}.  <br>Questo sarà il centro per la ricerca
water_points_will_be	I punti in acqua saranno {0}
skipped	saltato
ignored	ignorato
classic_mode	La modalità classica é ora {0}
enabled	abilitato
disabled	disabilitato
help	Aiuto
invalid_num_points	Valore incorretto. I parametri dovrebbero essere un numero compreso da 1 a 10
scan_time_take	La generazione potrebbe richiedere dai 5 a 15 minuti
finding_location	Trovare un luogo ... concentrati sul tuo intento.
nothing_but_water_points	Impossibile trovare altro che punti d'acqua. Riprovare più tardi.
num_water_points_skipped_so_far	Numero di punti d'acqua saltati finora: {0}
num_water_points_skipped	Numero di punti d'acqua saltati: {0}
point_generated	Punto generato
no_points_detected_quantum	Nessun punto attualmente rilevato nell'area, fornendo invece un punto quantico per te.
no_points_detected	Nessun punto attualmente rilevato nell'area.
address	indirizzo
get_intent_suggestions	Quantizzare casualmente il dizionario inglese per te.
define	definire
spotify_search	Cerca in Spotify
intent_suggestions	Suggerimenti di intenti
num_water_attractors_skipped	Numero di punti d'acqua per attrattori saltati: {0}
num_water_voids_skipped	Numero di punti d'acqua nulli saltati: {0}
pair_points_detected	Coppia di punti generati
generating_chain	Generare la tua catena. A seconda del raggio e del numero / tipo di punti potrebbe richiedere del tempo.
chain_nothing_found	Nessuna anomalia rilevata finora al punto # {0}. Riprovare ...
chain_nothing_but_water_points	Impossibile trovare altro che punti d'acqua nel punto {0}. Riprovare più tardi.
chain_num_water_points_skipped_so_far	Numero di punti d'acqua saltati finora nel punto # {0}: {1}
chain_num_water_points_skipped	Numero di punti d'acqua saltati nel punto # {0}: {1}
chain_generated	Catena generata
mystery_point_generated	Punto di mistero generato
exception_caught	Eccezione rilevata
error_sorry	Mi dispiace, sembra che qualcosa sia andato storto.
open	Aperto
chain_map_open	Catena di viaggi su Google Maps
view_on_google_maps	Visualizza su Google Maps
street_view	vista stradale
google_earth	Google Earth
location	Posizione
open_map	Apri la mappa
map	Mappe
earth	Terra
view_with_google	Visualizza con Google
google_maps	Google Maps
google_street_view	Google Street View
download_app	Scarica l'app
md_anomaly	Anomalia
md_attractor	Attrattore
md_void	Vuoto
md_options	Opzioni / Aiuto
md_blindspotsmore	Spot ciechi e altro
md_mylocation	La mia posizione
md_lets_search_paid	Cerchiamo! Cosa vorresti ottenere?  <br>Gli attrattori sono gruppi densi di punti casuali. I vuoti sono l'opposto.  <br>Le anomalie sono le più potenti tra attrattori e vuoti.   <br>   <br><br><br>Premium funzioni disponibili - Anteprime mappe, salta punti d'acqua e ricerca personalizzata della posizione.  <br>Vai su Componenti aggiuntivi
md_invalid_action	Questa non è un'azione valida. Cosa vorresti ottenere?
md_lets_search	Cerchiamo! Cosa vorresti ottenere?  <br>Gli attrattori sono gruppi densi di punti casuali. I vuoti sono l'opposto.  <br>Le anomalie sono le più forti tra attrattori e vuoti.
md_how_many_idas	Fino a quanti punti vorresti cercare?
md_choose_qrng	Scegli la tua fonte di entropia: (scegli Australian National University - ANU se non sei sicuro)
md_invalid_qrng	Questa non è una fonte di entropia valida.
md_camera	telecamera
md_anu	ANU
md_temporal	Temporale
md_temporal_server	Temporale (Server)
md_temporal_phone	Temporale (telefono)
md_anu_leftovers	Rimanenze ANU
md_gcp_retro	GCP Retro
md_collecting_camera_entropy	Raccolta di casualità dalla fotocamera del telefono (non vengono scattate foto) ...
md_collecting_temporalphone_entropy	Raccogliere casualità dalla CPU del tuo telefono ...
yes	sì
no	No
addons	Add-on
update_settings_q	Aggiorna le tue impostazioni?
select_radius	Seleziona il raggio in metri o inserisci direttamente i numeri
include_water_points_q	Includere punti d'acqua?
show_google_street_earth_q	Visualizzare le anteprime di Google Street View e Earth?
invalid_answer	Questa non è una risposta valida.
anonymized_id_is	Il tuo ID anonimo è {0}.
show_google_street_earth	Le anteprime di Street View e Earth saranno {0}.
hidden	nascosto
displayed	visualizzati
get_locsearch_skipwater_pack	Ottieni la ricerca della posizione e salta il pacchetto di punti d'acqua dal pulsante Componenti aggiuntivi.
get_maps_pack	Ottieni il Maps Pack per mappe in-app e anteprime stradali dal pulsante Componenti aggiuntivi.
bs_quantum	quantistico
bs_quantum_time	Quantum Time
bs_intent_suggestions	Idee di intenti
bs_mystery_point	Punto misterioso
bs_pair	Coppia di punti
bs_pseudo	Pseudo
bs_scan	Scansione
bs_chains	Catene
bs_dice	Dadi Quantici
bs_back	<Indietro
welcome_randonautica	Benvenuti in Randonautica!
welcome_beginners	Principianti: iniziare esaminando le [FAQ]({0}) e [I 9 principi dei Randonauti]({1}).
welcome_report_share	Dopo aver completato un viaggio, condividi la discussione con i Randonauts su [Reddit]({0}) e [Twitter]({1}).
first_send_location	Inizia inviando la tua posizione toccando 🌍 / 📎 o inviando un URL di Google Maps.
choose_chain_type	Che tipo di punti vuoi concatenare?
ch_invalid_point_type	Questo non è un tipo di punto valido.
ch_anomalies	anomalie
ch_voids	vuoti
ch_attractors	attrattori
ch_current_or_sequential	Generare tutti i punti dalla posizione corrente o in ordine sequenziale?
ch_current	attuale
ch_sequential	Sequenziale
ch_num_points	Inserisci il numero di punti da incatenare. La distanza totale massima approssimativa sarà quel numero moltiplicato per il tuo raggio attuale.
ch_invalid_number	Questo non è un numero valido.
ch_reprompt_num_points	Numero non valido. Inserisci il numero di punti:
ch_mte	Il numero deve essere maggiore o uguale a {0}. Inserisci numero:
ch_lte	Il numero deve essere inferiore o uguale a {0}. Inserisci numero:
no_loc_or_reset	Non hai impostato un percorso o è stato ripristinato. Invialo toccando 🌍 / 📎 o inviando un URL di Google Maps. Puoi anche digitare \"help\" in qualsiasi momento.
ida_found	Rilevata anomalia guidata dall'intenzione
ida_type	Tipo: {0}
ida_radius	Raggio: {0}
ida_power	Potenza: {0}
ida_bearing	Rilevamento: {0}
ida_zscore	punteggio z: {0}
randpoint_generated	Punto casuale generato
suggested_time	Tempo suggerito: {0}
blind_spots_more_menu	Cosa vorresti ottenere?  <br>I punti quantici sono singoli casuali (potenziali punti ciechi). I punti misteriosi sono un tipo casuale di punti.
invalid_action	Questa non è un'azione valida.
agree_to_terms_q	Accetti i termini di utilizzo e l'informativa sulla privacy e di essere un Randonaut ben educato?
toc_dontagree	No
toc_doagree	sono d'accordo
toc_shame	È un peccato. Tante avventure casuali ti stanno aspettando.
toc_invalid_answer	Questa non è una risposta valida. {0}
qd_min1	Inserisci un numero minimo inclusivo maggiore o uguale a 1. Per un lancio di una moneta inserisci 1 e assegna loro delle teste
