all_kinds_steve	Eu sou todo tipo de Steve!
let_steve_help	Deixe Steve ajudá-lo!
this_is_steve	Este é o Steve
radius_gte	O raio deve ser maior ou igual a {0} m
radius_lte	O raio deve ser menor ou igual a {0} m
changed_radius	Raio alterado de {0} ma {1} m
invalid_radius	Raio inválido
current_radius	Seu raio atual de é {0} m
cant_find_place	Local não encontrado.
current_location	Seu local atual está definido como {0}, {1}. <br> Este será o centro de pesquisas.
water_points_will_be	Os pontos de água serão {0}
skipped	pulado
ignored	ignorado
classic_mode	O modo clássico agora é {0}
enabled	ativado
disabled	Desativado
help	Socorro
invalid_num_points	Valor incorreto. O parâmetro deve ser um dígito de 1 a 10.
scan_time_take	A geração pode levar de 5 a 15 minutos.
finding_location	Encontrar um local ... concentre-se em sua intenção.
nothing_but_water_points	Não foi possível encontrar nada além de pontos de água. Tente mais tarde.
num_water_points_skipped_so_far	Número de pontos de água ignorados até agora: {0}
num_water_points_skipped	Número de pontos de água ignorados: {0}
point_generated	Ponto gerado
no_points_detected_quantum	Nenhum ponto atualmente detectado na área, fornecendo um ponto quântico para você.
no_points_detected	Nenhum ponto atualmente detectado na área.
address	endereço
get_intent_suggestions	Aleatoriamente quantificando o dicionário de inglês para você.
define	definir
spotify_search	Pesquisa no Spotify
intent_suggestions	Sugestões de intenção
num_water_attractors_skipped	Número de pontos de água do atrator ignorados: {0}
num_water_voids_skipped	Número de pontos de água nulos ignorados: {0}
pair_points_detected	Par de pontos gerados
generating_chain	Gerando sua cadeia. Dependendo do seu raio e do número / tipo de pontos, pode demorar um pouco.
chain_nothing_found	Nenhuma anomalia encontrada até o momento no ponto # {0}. Tentando novamente...
chain_nothing_but_water_points	Não foi possível encontrar nada além de pontos de água no ponto {0}. Tente mais tarde.
chain_num_water_points_skipped_so_far	Número de pontos de água ignorados até agora no ponto # {0}: {1}
chain_num_water_points_skipped	Número de pontos de água ignorados no ponto # {0}: {1}
chain_generated	Cadeia gerada
mystery_point_generated	Ponto de mistério gerado
exception_caught	Exceção capturada
error_sorry	Desculpe, parece que algo deu errado.
open	Abrir
chain_map_open	Cadeia de viagens no Google Maps
view_on_google_maps	Ver no Google Maps
street_view	vista da rua
google_earth	Google Earth
location	Localização
