all_kinds_steve	Я всі види Стіва!
let_steve_help	Дозволь Стіву допомогти!
this_is_steve	це Стів
radius_gte	Радіус повинен бути більше або дорівнює {0} м
radius_lte	Радіус повинен бути менше або дорівнює {0} м
changed_radius	Радіус змінений з {0} м на {1} м
invalid_radius	невірний радіус
current_radius	Поточний радіус {0} м
cant_find_place	Місце не знайдено
current_location	Ваше місце розташування встановлено в {0}, {1}. <br> Ця точка стане центром пошуку.
water_points_will_be	Точки потрапили у водойми будуть {0}
skipped	пропущені
ignored	ігноруватися
classic_mode	класичний режим
enabled	включений
disabled	вимкнений
help	Допомога
invalid_num_points	Некоректне значення. Параметр повинен бути цілим числом від 1 до 10.
scan_time_take	Генерація може зайняти від 5 до 15 хвилин.
finding_location	Шукаємо координати... сфокусуйтеся на намір!
nothing_but_water_points	Не знайшлося нічого на суші. Спробуйте ще раз пізніше
num_water_points_skipped_so_far	Загальна кількість пропущених точок у воді: {0}
num_water_points_skipped	Число пропущених точок у воді: {0}
point_generated	точка згенерована
no_points_detected_quantum	Точок не знайдено, видаємо квантово-випадкову координату.
no_points_detected	У вибраній області точок не знайдено.
address	Адреса
get_intent_suggestions	Рандомізіруем англійський словник для Вас
define	визначення
spotify_search	Шукати в Spotify
intent_suggestions	варіанти намірів
num_water_attractors_skipped	Число пропущених аттракторов в воді: {0}
num_water_voids_skipped	Число пропущених Увійдіть у воді: {0}
pair_points_detected	Пара точок згенерована
generating_chain	Генеруємо ланцюжок. Залежно від радіуса, числа і типу точок це витрачається багато часу.
chain_nothing_found	Поки що для точки # {0} аномалій, не знайдено. Продовжуємо пошуки...
chain_nothing_but_water_points	Для точки # {0} не знайшлося нічого, крім водойм. Спробуйте знову пізніше.
chain_num_water_points_skipped_so_far	Загальна кількість пропущених координат в воді для точки # {0}: {1}
chain_num_water_points_skipped	Число пропущених координат в воді для точки # {0}: {1}
chain_generated	ланцюжок згенерована
mystery_point_generated	Загадкова точка згенерована
exception_caught	Виняток в програмі
error_sorry	Вибачте, щось пішло не так!
open	відкрити
chain_map_open	Ланцюжок в Google Картах
view_on_google_maps	Дивитися в Google Картах
street_view	Street View
google_earth	Google Earth
location	Місце
open_map	відкрити карту
map	карти
earth	земля
view_with_google	Подивитися в Google
google_maps	Google Карти
google_street_view	Google Street View
download_app	завантажити додаток
md_anomaly	аномалія
md_attractor	аттрактори
md_void	увійшовши
md_options	Опції / Допомога
md_blindspotsmore	Сліпі плями та ін
md_mylocation	Мої місця
md_lets_search_paid	Давайте шукати! Що б ви хотіли отримати? <br> Аттрактори - це щільні скупчення випадкових точок. Увійдіть - їх протилежність, області пустот. <br> Аномалії - найсильніші з Аттрактор і увійдіть. <br> <br> <br> Доступні преміальні можливості - попередній перегляд карти, пропуск точок в водоймах і спеціальний пошук локацій. <br> Див. Додатки
md_invalid_action	Це неприпустиме дію. Що б ви хотіли отримати?
