all_kinds_steve	Jestem wszystkimi rodzajami Stefanów!
let_steve_help	Daj sobie pomóc Stefanowi!
this_is_steve	Tu Stefan
radius_gte	Obszar musi mieć więcej lub równo {0}m
radius_lte	Obszar musi mieć mniej lub równo {0}m
changed_radius	Zmieniono obszar z {0}m do {1}m
invalid_radius	Nieprawidłowy obszar
current_radius	Twoja obecna odległość od celu to {0}m
cant_find_place	Miejsce nie znalezione
current_location	Twoja obecna lokalizacja to {0},{1}
water_points_will_be	
skipped	pominięte
ignored	zignorowane 
classic_mode	Tryb klasyczny włączony {0}
enabled	Włączone
disabled	Wyłączone
help	Pomoc 
invalid_num_points	Nieprawidłowa wartość. Wybierz numer od 1 do 10
scan_time_take	wygenerowanie może zająć od 5 do 15 minut
finding_location	Szukanie lokalizacji... skup uwagę na intencji.
nothing_but_water_points	Nie mogliśmy znaleźć nic oprócz punktów na wodzie. Spróbuj ponownie później.
num_water_points_skipped_so_far	Aktualna liczba pominiętych punktów na wodzie: {0}
num_water_points_skipped	Liczba pominiętych punktów wodnych: {0}
point_generated	Wygenerowano punktowo
no_points_detected_quantum	W tej chwili nie wykryto żadnych punktów w okolicy, dostarczając za to punkt kwantowy.
no_points_detected	W okolicy nie wykryto żadnych punktów.
address	adres
get_intent_suggestions	Ilościowo losowy słownik angielski dla Ciebie.
define	definiować
spotify_search	Szukaj w Spotify
intent_suggestions	Celowe sugestie
num_water_attractors_skipped	Pominięto liczbę punktów przyciągania wody: {0}
num_water_voids_skipped	Liczba pominiętych pustych punktów wodnych: {0}
pair_points_detected	Para wygenerowanych punktów
generating_chain	Generowanie łańcucha. W zależności od promienia i liczby / rodzaju punktów może to chwilę potrwać.
chain_nothing_found	Do tej pory nie znaleziono anomalii w punkcie # {0}. Próbuję ponownie...
chain_nothing_but_water_points	Nie można znaleźć niczego oprócz punktów wodnych w punkcie {0}. Spróbuj ponownie później.
chain_num_water_points_skipped_so_far	Liczba punktów wodnych pomijanych do tej pory w punkcie # {0}: {1}
chain_num_water_points_skipped	Liczba punktów wodnych pominiętych w punkcie # {0}: {1}
chain_generated	Wygenerowano z łańcucha
mystery_point_generated	Wygenerowano punkt tajemnicy
exception_caught	Złapany wyjątek
error_sorry	Przepraszamy, wygląda na to, że coś poszło nie tak.
open	otwarty
chain_map_open	Łańcuch podróży w Mapach Google
view_on_google_maps	Wyświetl w Mapach Google
street_view	widok ulicy
google_earth	Google Earth
location	Lokalizacja
open_map	Otwórz mapę
map	Mapy
