all_kinds_steve	我叫史蒂夫！
let_steve_help	讓史蒂夫幫助您！
this_is_steve	這是史蒂夫
radius_gte	半徑必須大於或等於{0}m 
radius_lte	半徑必須小於或等於{0}m 
changed_radius	半徑從{0}m 更改為{1}m 
invalid_radius	無效的半徑
current_radius	您當前的半徑為{0}m 
cant_find_place	找不到地方。
current_location	您當前的位置設置為{0}，{1}。  <br>這將是搜索的中心。
water_points_will_be	水位將為{0}
skipped	跳過
ignored	被忽略
classic_mode	經典模式現在為{0}
enabled	已啟用
disabled	殘障人士
help	幫幫我
invalid_num_points	值不正確。參數應為1到10的數字。
scan_time_take	生成可能需要5到15分鐘。
finding_location	尋找位置...專注於您的意圖。
nothing_but_water_points	除了水位，什麼都找不到。稍後再試。
num_water_points_skipped_so_far	到目前為止跳過的水位數量：{0}
num_water_points_skipped	跳過的飲水點數量：{0}
point_generated	點生成
no_points_detected_quantum	該區域當前未檢測到任何點，而是為您提供了一個量子點。
no_points_detected	該區域當前未檢測到任何點。
address	地址
get_intent_suggestions	為您量化英語詞典的數量。
define	限定
spotify_search	在Spotify中搜索
intent_suggestions	意向建議
num_water_attractors_skipped	跳過的吸引水點數：{0}
num_water_voids_skipped	跳過的無效水位數量：{0}
pair_points_detected	成對的點
generating_chain	生成您的鏈。根據您的半徑和點的數量/類型，可能需要一段時間。
chain_nothing_found	到目前為止，在點＃{0}上未發現異常。再試一次...
chain_nothing_but_water_points	除了點{0}的水位以外，找不到任何東西。稍後再試。
chain_num_water_points_skipped_so_far	到目前為止，在點{{0}：{1}處跳過的水位數量
chain_num_water_points_skipped	在點{{0}：{1}處跳過的水位數量
chain_generated	鏈產生
mystery_point_generated	產生的神秘點
exception_caught	捕獲到異常
error_sorry	抱歉，好像出了點問題。
open	打開
chain_map_open	Google地圖上的旅行鏈
view_on_google_maps	在Google地圖上查看
street_view	街景
google_earth	谷歌地球
location	位置
open_map	打開地圖
map	地圖
earth	地球
view_with_google	用Google查看
google_maps	谷歌地圖
google_street_view	Google街景
download_app	下載應用程式
md_anomaly	異常現象
md_attractor	吸引點
md_void	空洞
md_options	選項/幫助
md_blindspotsmore	盲點及更多
md_mylocation	我的位置
md_lets_search_paid	讓我們搜索！您想得到什麼？  <br>吸引點是密集的隨機點簇。空洞則相反。  <br>異常是吸引點和虛空中最強的。  <br>   <br><br><br>可用的高級功能-地圖預覽，跳過水位和自定義位置搜索。  <br>轉到附加組件
md_invalid_action	這不是有效的措施。您想得到什麼？
md_lets_search	讓我們搜索！您想得到什麼？  <br>吸引點是密集的隨機點簇。空洞則相反。  <br>異常是吸引點和虛空中最強的。
md_how_many_idas	您最多要尋找幾分？
md_choose_qrng	選擇您的熵源：（如果不確定，請選擇澳大利亞國立大學-澳大利亞國立大學）
md_invalid_qrng	那不是有效的熵源。
md_camera	相機
md_anu	澳大利亞國立大學
md_temporal	顳
md_temporal_server	臨時的(服務器)
md_temporal_phone	臨時的(電話)
md_anu_leftovers	ANU剩菜剩飯
md_gcp_retro	GCP復古
md_collecting_camera_entropy	從手機的攝像頭收集隨機性(不拍攝照片)...
md_collecting_temporalphone_entropy	從手機的CPU收集隨機性...
yes	是
no	沒有
addons	附加組件
update_settings_q	更新設置？
select_radius	以米為單位選擇半徑，或直接輸入數字
include_water_points_q	包括水位？
show_google_street_earth_q	顯示Google街景和地球預覽？
invalid_answer	那不是一個有效的答案。
anonymized_id_is	您的匿名ID為{0}。
show_google_street_earth	街景和地球預覽將為{0}。
hidden	隱
displayed	顯示
get_locsearch_skipwater_pack	從附加組件按鈕獲取位置搜索和跳過水點包。
get_maps_pack	從“附加組件”按鈕獲取適用於應用內地圖和街道預覽的Maps Pack。
bs_quantum	量子
bs_quantum_time	量子時間
bs_intent_suggestions	意向建議
bs_mystery_point	神秘點
bs_pair	對點
bs_pseudo	偽
bs_scan	掃瞄
bs_chains	鏈條
bs_dice	量子骰子
bs_back	<返回
welcome_randonautica	歡迎來到Randonautica！
welcome_beginners	初學者：請先閱讀[FAQ]({0})和[Randonauts的9條原則]({1})。
welcome_report_share	完成旅行後，在[Reddit]({0})和[Twitter]({1})上與Randonauts共享討論。
first_send_location	首先通過點擊🌍/📎發送位置信息或發送Google Maps URL。
choose_chain_type	您想鏈接什麼樣的積分？
ch_invalid_point_type	這不是有效的點類型。
ch_anomalies	異常現象
ch_voids	空洞
ch_attractors	吸引點
ch_current_or_sequential	從您當前的位置或按順序生成所有點？
ch_current	當前
ch_sequential	順序的
ch_num_points	輸入要鏈接的點數。大約最大總距離就是該數字乘以您當前的半徑。
ch_invalid_number	這不是有效數字。
