all_kinds_steve	Je suis toutes sortes de Steve!
let_steve_help	Laissez Steve vous aider!
this_is_steve	C'est Steve
radius_gte	Le rayon doit être supérieur ou égal à {0} m
radius_lte	Le rayon doit être inférieur ou égal à {0} m
changed_radius	Rayon modifié de {0} m à {1} m
invalid_radius	Rayon invalide
current_radius	Votre rayon est actuellement {0} m
cant_find_place	Lieu introuvable.
current_location	Votre position actuelle est définie par {0}, {1}. <br> Ce sera le centre des recherches.
water_points_will_be	Les points d'eau seront {0}
skipped	sauté
ignored	ignoré
classic_mode	Le mode classique est désormais {0}
enabled	activé
disabled	désactivé
help	Aidez-moi
invalid_num_points	Valeur incorrecte. Le paramètre doit être un chiffre de 1 à 10.
scan_time_take	La génération pourrait prendre de 5 à 15 minutes.
finding_location	Cherchant un emplacement... concentrez-vous sur votre intention.
nothing_but_water_points	Impossible de trouver autre chose que des points d'eau. Réessayez plus tard.
num_water_points_skipped_so_far	Nombre de points d'eau ignorés jusqu'au présent: {0}
num_water_points_skipped	Nombre de points d'eau ignorés: {0}
point_generated	Point généré
no_points_detected_quantum	Aucun point actuellement détecté dans la zone, fournissant à sa place un point quantique.
no_points_detected	Aucun point actuellement détecté dans la zone.
address	adresse
get_intent_suggestions	Randomisation quantique du dictionnaire anglais pour vous.
define	définir
spotify_search	Rechercher sur Spotify
intent_suggestions	Suggestions d'intention
num_water_attractors_skipped	Nombre de points d'attracteur d'eau ignorés: {0}
num_water_voids_skipped	Nombre de points vides d'eau ignorés: {0}
pair_points_detected	Paire de points générés
generating_chain	Générant votre chaîne. Selon votre rayon et le nombre / type de points, cela peut prendre un certain temps.
chain_nothing_found	Aucune anomalie trouvée à ce moment au point # {0}. Réessayant...
chain_nothing_but_water_points	Impossible de trouver autre chose que des points d'eau au point {0}. Réessayez plus tard.
chain_num_water_points_skipped_so_far	Nombre de points d'eau ignorés jusqu'au présent au point # {0}: {1}
chain_num_water_points_skipped	Nombre de points d'eau sautés au point # {0}: {1}
chain_generated	Chaîne générée
mystery_point_generated	Point mystère généré
exception_caught	Exception interceptée
error_sorry	Désolé, on dirait que quelque chose s'est mal passé.
open	Ouvert
chain_map_open	Traverser la chaîne avec Google Maps
view_on_google_maps	Afficher sur Google Maps
street_view	Street View
google_earth	Google Earth
location	Emplacement
open_map	Ouvrir la carte
map	Cartes
earth	Terre
view_with_google	Afficher avec Google
google_maps	Google Maps
google_street_view	Google Street View
download_app	Téléchargez l'appli
md_anomaly	Anomalie
md_attractor	Attracteur
md_void	Vide
md_options	Options / Aide
md_blindspotsmore	Points aveugles et +
md_mylocation	Ma position
md_lets_search_paid	Cherchons! Qu'aimeriez-vous obtenir? <br> Les attracteurs sont des groupes denses de points aléatoires. Les vides sont le contraire. <br> Les anomalies sont les plus fortes des attracteurs ou des vides. <br> <br> <br> Fonctionnalités Premium disponibles - Recharge des points, points infinis, prévisualisations de cartes, saut de points d'eau, rallongement de rayon, et recherche d'emplacement personnalisée. <br> Allez dans Options / Aide → Add-ons
md_invalid_action	Ce n'est pas une action valide. Qu'aimeriez-vous obtenir?
md_lets_search	Cherchons! Qu'aimeriez-vous obtenir? <br> Les attracteurs sont des groupes denses de points aléatoires. Les vides sont le contraire. <br> Les anomalies sont les plus fortes des attracteurs ou des vides.
md_how_many_idas	Jusqu'à combien de points aimeriez-vous chercher?
md_choose_qrng	Choisissez votre source d'entropie: (choisissez Australian National University - ANU en cas de doute)
md_invalid_qrng	Ce n'est pas une source d'entropie valide.
md_camera	Caméra
md_anu	ANU
md_temporal	Temporel
md_temporal_server	Temporel (serveur)
md_temporal_phone	Temporel (téléphone)
md_anu_leftovers	Restes de l'ANU
md_gcp_retro	GCP Retro
md_collecting_camera_entropy	Collection des données aléatoires de l'appareil photo de votre téléphone (aucune photo n'est prise)...
md_collecting_temporalphone_entropy	Collection des donées aléatoires de la CPU de votre téléphone...
yes	Oui
no	Non
addons	Add-ons
update_settings_q	Mettre à jour vos paramètres?
select_radius	Sélectionnez votre rayon en mètres ou entrez directement les chiffres
include_water_points_q	Inclure des points d'eau?
show_google_street_earth_q	Afficher des aperçus Google Street View et Earth?
invalid_answer	Ce n'est pas une réponse valide.
anonymized_id_is	Votre identifiant anonyme est {0}.
show_google_street_earth	Les aperçus Street View et Earth seront {0}.
hidden	cachés
displayed	affichés
get_locsearch_skipwater_pack	Obtenez le pack Recherche d'emplacement et de Saut des points d'eau à partir du bouton Add-ons.
get_maps_pack	Obtenez le pack de Cartes pour des aperçus de cartes et de rues dans l'application à partir du bouton Add-ons.
bs_quantum	Quantum
bs_quantum_time	Heure quantique
bs_intent_suggestions	Idées d'intention
bs_mystery_point	Point mystère
bs_pair	Paire de points
bs_pseudo	Pseudo
bs_scan	Scan
bs_chains	Chaînes
bs_dice	Dés quantiques
bs_back	< Retour
welcome_randonautica	Bienvenue chez Randonautica!
welcome_beginners	Débutant(e)? [Regardez cette vidéo](https://www.youtube.com/watch?v=h148J7ym7Ww) pour découvrir de quoi il s'agit. <br> <br> <br> Vous pouvez également consulter [Les 9 principes des Randonauts]({1})
welcome_report_share	Une fois le voyage terminé, participez en discussion avec les Randonauts sur [Reddit]({0}) et [Twitter]({1}).
first_send_location	Commencez par envoyer votre position en appuyant sur 🌍 / 📎 ou en envoyant une URL Google Maps.
choose_chain_type	Quel type de points voulez-vous enchaîner?
ch_invalid_point_type	Ce n'est pas un type de point valide.
ch_anomalies	Anomalies
ch_voids	Vides
ch_attractors	Attracteurs
ch_current_or_sequential	Générer tous les points à partir de votre position actuelle ou dans un ordre séquentiel?
ch_current	Actuel
ch_sequential	Séquentiel
ch_num_points	Entrez le nombre de points à enchaîner. La distance totale maximale approximative sera ce nombre multiplié par votre rayon actuel.
ch_invalid_number	Ce n'est pas un nombre valide.
ch_reprompt_num_points	Numéro invalide. Entrez le nombre de points:
ch_mte	Le nombre doit être supérieur ou égal à {0}. Entrer un nombre:
ch_lte	Le nombre doit être inférieur ou égal à {0}. Entrer un nombre:
no_loc_or_reset	Vous n'avez pas défini de lieu ou il a été réinitialisé. Envoyez-le en appuyant sur 🌍 / 📎 ou en envoyant une URL Google Maps. Vous pouvez également taper \ "help \" à tout moment.
ida_found	Anomalie motivée par l'intention trouvée
ida_type	Type: {0}
ida_radius	Rayon: {0}
ida_power	Puissance: {0}
ida_bearing	Relèvement: {0}
ida_zscore	score z: {0}
randpoint_generated	Point aléatoire généré
suggested_time	Heure suggérée: {0}
blind_spots_more_menu	Qu'aimeriez-vous obtenir? <br> Les points quantiques sont des points aléatoires uniques (points aveugles potentiels). Les points mystères sont un type de point choisi au hasard.
invalid_action	Ce n'est pas une action valide.
