all_kinds_steve	Mindenféle Steve vagyok!
let_steve_help	Hadd segítsen Steve!
this_is_steve	Ez Steve
radius_gte	A sugárnak legalább {0} m-nek kell lennie
radius_lte	A sugárnak legfeljebb {0} m lehet
changed_radius	Megváltozott a sugara {0} m-ről {1} ​​m-re
invalid_radius	Érvénytelen sugarat
current_radius	Az Ön jelenlegi sugara {0} m
cant_find_place	A hely nem található.
current_location	A jelenlegi helyét {0}, {1} értékre állítja. <br> Ez lesz a keresések központja.
water_points_will_be	A vízpontok {0} lesznek
skipped	átugrott
ignored	figyelmen kívül hagyja
classic_mode	A klasszikus mód most {0}
enabled	engedélyezve
disabled	Tiltva
help	Segítség
invalid_num_points	Helytelen érték. A paraméternek 1 és 10 közötti számjegynek kell lennie.
scan_time_take	A generálás 5-15 percet vehet igénybe.
finding_location	Hely keresése... összpontosítson szándékára.
nothing_but_water_points	Csak vízpontot találtam. Próbáld újra később.
num_water_points_skipped_so_far	Az eddig kihagyott vízpontok száma: {0}
num_water_points_skipped	Kihagyott vízpontok száma: {0}
point_generated	Pont generált
no_points_detected_quantum	Jelenleg nem észlelt egyetlen pont sem a környéken, ehelyett kvantumpontot ad neked.
no_points_detected	Jelenleg nem észleltek pontot a környéken.
address	cím
get_intent_suggestions	Az angol szótár mennyiségi randomizálása az Ön számára.
define	meghatározzák
spotify_search	Keresés a Spotify-ban
intent_suggestions	Szándékos javaslatok
num_water_attractors_skipped	Kihagyott vonzó vízpontok száma: {0}
num_water_voids_skipped	Kihagyott üres vízpontok száma: {0}
pair_points_detected	Pár generált pont
generating_chain	Lánc generálása A sugaratól és a pontok számától / típusától függően eltarthat egy ideig.
chain_nothing_found	A (z) {0} ponton eddig nem találtak rendellenességeket. Próbálkozzon újra...
chain_nothing_but_water_points	A (z) {0} ponton csak vízpontot találtam. Próbáld újra később.
chain_num_water_points_skipped_so_far	A (z) {0} ponton eddig kihagyott vízpontok száma: {1}
chain_num_water_points_skipped	A (z) {0} ponton kihagyott vízpontok száma: {1}
chain_generated	Lánc generált
mystery_point_generated	Rejtély pont generált
exception_caught	Kivétel fogva
error_sorry	Sajnálom, úgy tűnik, hogy valami rosszra ment.
open	Nyisd ki
chain_map_open	Utazási lánc a Google Maps-en
view_on_google_maps	Megtekintés a Google Maps-en
street_view	utcakép
google_earth	Google Föld
location	Elhelyezkedés
open_map	Nyissa meg a Térképet
map	Maps
earth	föld
view_with_google	Megtekintés a Google segítségével
google_maps	Google térkép
google_street_view	Google utca nézet
download_app	Töltse le az alkalmazást
md_anomaly	Rendellenesség
md_attractor	attractor
md_void	Üres
md_options	Options / Segítség
md_blindspotsmore	Vak foltok és tovább
md_mylocation	Saját hely
